"","statistics","layersdepths","ID","lat","long","ph","om","clay","sand","silt","bd","hb","n","ksat","theta_r","theta_s","lambda","alpha"
"2044","mean","15_30",107506213,47.52517588,-122.19430265,5.6317195892334,0.757715823900135,6.79325532913208,55.8372344970703,31.4020576477051,1.15260004997253,0.840862724101941,1.46808266639709,3.37173912754083,0.032267838716507,0.565056562423706,0.405229568481445,1.19402833374078
"2045","mean","15_30",107506569,47.52457841,-122.19390803,5.68151950836182,1.24734427037707,9.74171543121338,50.926887512207,30.250732421875,1.20966768264771,1.22118084038099,1.40673267841339,2.70786991467411,0.0441120937466621,0.543521642684937,0.365692585706711,0.816501824724529
"2046","mean","15_30",107507103,47.52145343,-122.18882601,5.6381049156189,0.687805664515329,6.7346043586731,58.352970123291,29.9305267333984,1.15454018115997,0.836094443541346,1.48618149757385,3.40579229195283,0.0321800410747528,0.564324498176575,0.407912284135818,1.19149918113716
"2047","mean","15_30",107508353,47.52145123,-122.1884319,5.63839435577393,0.688149688644427,6.72829294204712,58.3821830749512,29.7739734649658,1.15640544891357,0.837159280025199,1.48507118225098,3.43214207275931,0.0322230905294418,0.563620567321777,0.407561600208282,1.18864935468026
"2048","mean","15_30",107509358,47.50808136,-122.19624491,5.77540636062622,1.01477837284314,2.5654296875,85.26171875,9.26390266418457,1.38180494308472,1.05815298109077,1.45590817928314,61.1720150672248,0.0397808216512203,0.478564202785492,0.397768288850784,0.946271202674589
"2049","mean","15_30",107509505,47.50257988,-122.17661843,5.5256404876709,1.00160748327666,6.2509765625,59.9109573364258,28.4305305480957,1.22788238525391,0.859148286893888,1.47403287887573,5.43914024800929,0.0329755619168282,0.536648154258728,0.409572899341583,1.17460669938626
"2050","mean","15_30",107509716,47.50257714,-122.17657974,5.5256404876709,1.00160748327666,6.2509765625,59.9109573364258,28.4305305480957,1.22788238525391,0.859148286893888,1.47403287887573,5.43914024800929,0.0329755619168282,0.536648154258728,0.409572899341583,1.17460669938626
"2051","mean","15_30",107509934,47.50385784,-122.17715693,5.59977912902832,0.802678189946876,6.29121971130371,59.0526275634766,29.4207420349121,1.19549024105072,0.836477823718456,1.48041987419128,4.07680195338944,0.0316835939884186,0.548871636390686,0.409983456134796,1.20037166947581
"2052","mean","15_30",107510152,47.503789,-122.177255,5.53554201126099,1.11310132175798,6.44134902954102,60.5881500244141,34.6846771240234,1.20814275741577,0.857507142945665,1.4721097946167,5.07035431875454,0.0310666691511869,0.544097065925598,0.408460110425949,1.16258412964525
"2053","mean","15_30",107511981,47.51840475,-122.15702242,5.34775543212891,1.60913242029207,6.43059635162354,62.0024490356445,25.7734375,1.32707023620605,0.9184966306692,1.47686219215393,10.3611291085625,0.0399608612060547,0.499218761920929,0.412433594465256,1.09810826366461
